STE_CODE_2021,D_21_24_FPT_MPET,D_21_24_FPT_MPULFTW,D_21_24_FPT_MPULPTW,D_21_24_FPT_MPUT,D_21_24_FPT_MPTLF,D_21_24_FPT_MPNLF,D_21_24_FPT_MPLFSNS,D_21_24_FPT_T,TDCF_FPEFT_MPEFT,TDCF_FPEFT_MPEPT,TDCF_FPEFT_MPEAW,TDCF_FPEFT_MPEHNS,TDCF_FPEFT_MPET,TDCF_FPEFT_MPULFTW,TDCF_FPEFT_MPULPTW,TDCF_FPEFT_MPUT,TDCF_FPEFT_MPTLF,TDCF_FPEFT_MPNLF,TDCF_FPEFT_MPLFSNS,TDCF_FPEFT_T,TDCF_FPEPT_MPEFT,TDCF_FPEPT_MPEPT,TDCF_FPEPT_MPEAW,TDCF_FPEPT_MPEHNS,TDCF_FPEPT_MPET,TDCF_FPEPT_MPULFTW,TDCF_FPEPT_MPULPTW,TDCF_FPEPT_MPUT,TDCF_FPEPT_MPTLF,TDCF_FPEPT_MPNLF,TDCF_FPEPT_MPLFSNS,TDCF_FPEPT_T,TDCF_FPEAW_MPEFT,TDCF_FPEAW_MPEPT,TDCF_FPEAW_MPEAW,TDCF_FPEAW_MPEHNS,TDCF_FPEAW_MPET,TDCF_FPEAW_MPULFTW,TDCF_FPEAW_MPULPTW,TDCF_FPEAW_MPUT,TDCF_FPEAW_MPTLF,TDCF_FPEAW_MPNLF,TDCF_FPEAW_MPLFSNS,TDCF_FPEAW_T,TDCF_FPHNS_MPEFT,TDCF_FPHNS_MPEPT,TDCF_FPHNS_MPEAW,TDCF_FPHNS_MPEHNS,TDCF_FPHNS_MPET,TDCF_FPHNS_MPULFTW,TDCF_FPHNS_MPULPTW,TDCF_FPHNS_MPUT,TDCF_FPHNS_MPTLF,TDCF_FPHNS_MPNLF,TDCF_FPHNS_MPLFSNS,TDCF_FPHNS_T,TDCF_FPET_MPEFT,TDCF_FPET_MPEPT,TDCF_FPET_MPEAW,TDCF_FPET_MPEHNS,TDCF_FPET_MPET,TDCF_FPET_MPULFTW,TDCF_FPET_MPULPTW,TDCF_FPET_MPUT,TDCF_FPET_MPTLF,TDCF_FPET_MPNLF,TDCF_FPET_MPLFSNS,TDCF_FPET_T,TDCF_FPULFTW_MPEFT,TDCF_FPULFTW_MPEPT,TDCF_FPULFTW_MPEAW,TDCF_FPULFTW_MPEHNS,TDCF_FPULFTW_MPET,TDCF_FPULFTW_MPULFTW,TDCF_FPULFTW_MPULPTW,TDCF_FPULFTW_MPUT,TDCF_FPULFTW_MPTLF,TDCF_FPULFTW_MPNLF,TDCF_FPULFTW_MPLFSNS,TDCF_FPULFTW_T,TDCF_FPULPTW_MPEFT,TDCF_FPULPTW_MPEPT,TDCF_FPULPTW_MPEAW,TDCF_FPULPTW_MPEHNS,TDCF_FPULPTW_MPET,TDCF_FPULPTW_MPULFTW,TDCF_FPULPTW_MPULPTW,TDCF_FPULPTW_MPUT,TDCF_FPULPTW_MPTLF,TDCF_FPULPTW_MPNLF,TDCF_FPULPTW_MPLFSNS,TDCF_FPULPTW_T,TDCF_FPUT_MPEFT,TDCF_FPUT_MPEPT,TDCF_FPUT_MPEAW,TDCF_FPUT_MPEHNS,TDCF_FPUT_MPET,TDCF_FPUT_MPULFTW,TDCF_FPUT_MPULPTW,TDCF_FPUT_MPUT,TDCF_FPUT_MPTLF,TDCF_FPUT_MPNLF,TDCF_FPUT_MPLFSNS,TDCF_FPUT_T,TDCF_FPTLF_MPEFT,TDCF_FPTLF_MPEPT,TDCF_FPTLF_MPEAW,TDCF_FPTLF_MPEHNS,TDCF_FPTLF_MPET,TDCF_FPTLF_MPULFTW,TDCF_FPTLF_MPULPTW,TDCF_FPTLF_MPUT,TDCF_FPTLF_MPTLF,TDCF_FPTLF_MPNLF,TDCF_FPTLF_MPLFSNS,TDCF_FPTLF_T,TDCF_FPNLF_MPEFT,TDCF_FPNLF_MPEPT,TDCF_FPNLF_MPEAW,TDCF_FPNLF_MPEHNS,TDCF_FPNLF_MPET,TDCF_FPNLF_MPULFTW,TDCF_FPNLF_MPULPTW,TDCF_FPNLF_MPUT,TDCF_FPNLF_MPTLF,TDCF_FPNLF_MPNLF,TDCF_FPNLF_MPLFSNS,TDCF_FPNLF_T,TDCF_FPLFSNS_MPEFT,TDCF_FPLFSNS_MPEPT,TDCF_FPLFSNS_MPEAW,TDCF_FPLFSNS_MPEHNS,TDCF_FPLFSNS_MPET,TDCF_FPLFSNS_MPULFTW,TDCF_FPLFSNS_MPULPTW,TDCF_FPLFSNS_MPUT,TDCF_FPLFSNS_MPTLF,TDCF_FPLFSNS_MPNLF,TDCF_FPLFSNS_MPLFSNS,TDCF_FPLFSNS_T,TDCF_FPT_MPEFT,TDCF_FPT_MPEPT,TDCF_FPT_MPEAW,TDCF_FPT_MPEHNS,TDCF_FPT_MPET,TDCF_FPT_MPULFTW,TDCF_FPT_MPULPTW,TDCF_FPT_MPUT,TDCF_FPT_MPTLF,TDCF_FPT_MPNLF,TDCF_FPT_MPLFSNS,TDCF_FPT_T
1,32566,823,266,1098,33665,7700,175,41540,341026,44950,17152,2118,405243,6263,1361,7623,412864,26506,613,439989,335079,68584,17890,2860,424412,4679,1101,5783,430194,23077,693,453965,64796,13264,18079,892,97033,998,197,1199,98229,5028,148,103405,4113,816,480,5310,10711,155,43,203,10912,977,1129,13024,745012,127608,53597,11182,937402,12096,2709,14800,952202,55591,2590,1010383,8240,1461,573,199,10475,1935,202,2132,12606,1209,39,13848,11105,2350,784,290,14527,1411,635,2055,16573,1606,37,18217,19348,3809,1356,487,24994,3346,837,4181,29181,2818,75,32071,764356,131418,54959,11666,962396,15438,3539,18983,981384,58412,2664,1042452,176829,44629,21308,6599,249364,9141,2739,11878,261246,92391,1268,354910,1471,420,204,2080,4174,57,21,80,4252,608,4874,9732,942662,176467,76466,20347,1215936,24638,6304,30939,1246876,151415,8804,1407102
2,31711,684,255,940,32646,5097,140,37880,273783,34561,5281,1415,315035,5020,1355,6374,321413,16805,479,338694,353786,56392,6925,2623,419723,4305,1226,5536,425260,15651,565,441472,45272,6465,5830,532,58103,545,118,663,58767,1994,101,60862,4076,612,148,4668,9505,152,43,193,9698,673,796,11168,676912,98027,18185,9244,802373,10017,2741,12762,815136,35119,1943,852199,7376,1492,212,180,9261,1331,145,1476,10739,885,39,11663,12757,2546,307,338,15945,1143,550,1691,17636,1176,60,18870,20131,4040,521,515,25205,2474,696,3171,28375,2065,100,30532,697041,102065,18703,9756,827571,12490,3440,15932,843507,37183,2042,882731,171437,37235,6139,5622,220426,7056,1933,8986,229417,45099,1086,275597,1566,434,53,1863,3915,68,5,73,3988,352,3741,8087,870048,139735,24897,17240,1051915,19614,5378,24994,1076913,82636,6872,1166417
3,12007,275,92,364,12375,1685,50,14108,215533,26021,6306,1306,249164,3451,970,4419,253591,13760,409,267757,236974,38902,7252,2012,285140,2983,907,3894,289027,11711,418,301162,38883,6449,6193,460,51992,510,124,637,52627,2214,63,54901,2699,413,94,3384,6590,99,21,126,6714,577,561,7852,494094,71787,19846,7155,592886,7046,2025,9070,601957,28267,1448,631673,4596,971,170,159,5898,1119,114,1231,7128,842,16,7990,8352,1526,295,261,10437,743,360,1101,11540,807,47,12386,12953,2500,466,424,16333,1871,472,2335,18672,1648,59,20378,507041,74289,20309,7579,609218,8910,2498,11408,620627,29914,1507,652054,111556,21651,5901,3678,142792,4844,1361,6206,149000,28082,620,177698,987,230,50,1109,2365,36,12,45,2412,224,2578,5213,619583,96168,26262,12360,754375,13792,3869,17659,772033,58214,4711,834965
4,6898,133,43,181,7077,1131,21,8229,63121,9021,1173,348,73659,913,312,1230,74888,3823,103,78811,94582,15308,1899,724,112514,1064,369,1434,113951,4067,152,118179,9749,1654,1412,107,12925,91,22,106,13034,424,19,13478,786,156,40,871,1857,30,10,34,1893,157,115,2165,168237,26149,4525,2051,200959,2099,705,2807,203769,8473,387,212625,1341,376,33,32,1788,345,28,381,2161,234,8,2406,2801,620,68,58,3544,281,136,415,3963,268,8,4238,4142,995,102,92,5334,628,169,793,6125,501,15,6646,172379,27142,4630,2142,206286,2729,877,3600,209890,8973,405,219269,36254,8435,1354,1083,47123,1586,543,2133,49259,11303,169,60726,299,77,9,195,580,0,0,7,583,71,660,1320,208929,35659,5986,3419,253998,4319,1420,5740,259736,20342,1236,281315
5,9603,189,74,266,9868,1100,33,11002,97340,11707,2249,619,111908,1487,457,1946,113855,5585,175,119617,149923,18620,4049,1217,173811,1672,426,2098,175907,4935,267,181106,14122,1866,2291,179,18454,155,34,184,18644,536,44,19228,1406,153,53,1567,3180,50,11,63,3240,182,251,3679,262787,32345,8638,3583,307354,3371,923,4293,311646,11235,743,323625,2447,447,69,57,3020,438,47,487,3510,331,11,3845,6141,860,225,157,7389,407,147,558,7949,397,36,8385,8591,1315,300,212,10416,847,194,1040,11453,727,42,12230,271375,33657,8935,3792,317764,4219,1117,5338,323101,11965,790,335855,74831,11038,3346,2241,91450,2457,632,3084,94535,12209,320,107068,561,108,10,599,1277,17,7,21,1298,93,1288,2679,346766,44801,12288,6641,410498,6688,1751,8438,418939,24268,2397,445601
6,930,10,4,13,940,142,0,1089,15877,2713,391,108,19091,223,122,344,19439,1136,20,20589,26925,5216,595,244,32983,307,92,396,33377,1332,33,34733,2772,495,457,26,3752,32,9,40,3791,141,9,3937,252,41,8,319,618,5,9,12,632,49,24,703,45824,8472,1452,702,56444,564,233,796,57240,2647,82,59973,331,96,10,7,446,104,14,116,564,83,0,648,629,162,17,21,824,60,49,103,929,85,0,1014,955,256,29,26,1273,160,58,224,1490,172,0,1662,46782,8720,1481,730,57714,725,297,1016,58729,2819,85,61632,9477,2313,412,300,12500,450,145,604,13097,3131,38,16267,70,12,0,34,124,6,0,6,124,6,151,279,56329,11047,1893,1062,70333,1178,438,1621,71947,5961,267,78178
7,246,3,4,4,248,30,6,282,11482,1180,266,64,12992,190,40,233,13224,637,21,13883,6559,1335,187,78,8147,121,32,157,8304,506,21,8834,1195,189,249,16,1645,17,0,17,1666,67,0,1741,130,14,0,198,334,18,0,18,353,56,26,439,19365,2711,701,350,23123,345,75,421,23543,1272,75,24890,195,64,11,4,272,323,15,338,610,74,0,686,257,66,0,4,321,43,74,119,439,58,0,498,443,137,9,8,597,369,87,453,1053,130,3,1185,19812,2843,713,358,23723,713,160,878,24600,1405,77,26078,4010,917,191,171,5287,394,93,487,5774,4211,63,10054,56,7,0,28,95,8,0,13,108,10,287,405,23875,3769,904,558,29102,1120,256,1381,30478,5626,431,36537
8,1682,27,15,35,1724,244,5,1966,30481,3385,601,113,34576,329,98,421,35003,1339,35,36374,22073,3434,388,116,26008,196,63,257,26269,678,37,26979,3777,589,647,49,5059,16,0,21,5079,130,10,5222,213,37,14,213,475,0,0,6,475,19,44,543,56545,7442,1646,478,66117,541,163,704,66821,2173,127,69122,494,75,18,5,585,62,11,74,660,24,0,689,606,72,13,10,696,38,11,48,740,39,4,783,1102,147,28,9,1281,100,22,119,1403,62,4,1471,57649,7588,1677,491,67399,638,185,825,68226,2239,131,70591,7860,1359,280,144,9640,215,47,263,9902,1270,32,11203,82,17,5,78,182,0,0,0,187,12,116,313,65589,8966,1953,714,77226,855,231,1093,78317,3515,273,82107
9,0,0,0,0,0,0,0,0,175,31,10,0,215,0,0,0,214,4,0,219,175,45,5,0,218,0,0,0,218,23,0,247,19,0,7,0,29,0,0,0,29,0,0,29,0,0,0,5,7,0,0,0,7,0,0,7,365,74,18,10,473,0,0,0,474,22,0,504,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,4,0,10,10,7,0,0,7,0,0,0,0,0,0,10,10,8,0,0,8,373,74,18,10,476,0,7,7,481,22,0,509,59,25,5,4,88,3,0,3,92,10,0,102,3,0,0,0,3,0,0,0,3,0,9,11,435,100,19,15,571,3,7,11,578,33,11,629
