STE_CODE_2021,M_AgriForestFish_0,M_AgriForestFish_1_19,M_AgriForestFish_20_29,M_AgriForestFish_30_34,M_AgriForestFish_35_39,M_AgriForestFish_40_44,M_AgriForestFish_45_49,M_AgriForestFish_50_over,M_AgriForestFish_hours_NS,M_AgriForestFish_Tot,M_Min_0,M_Min_1_19,M_Min_20_29,M_Min_30_34,M_Min_35_39,M_Min_40_44,M_Min_45_49,M_Min_50_over,M_Min_hours_NS,M_Min_Tot,M_Mnfg_0,M_Mnfg_1_19,M_Mnfg_20_29,M_Mnfg_30_34,M_Mnfg_35_39,M_Mnfg_40_44,M_Mnfg_45_49,M_Mnfg_50_over,M_Mnfg_hours_NS,M_Mnfg_Tot,M_EGW_WS_0,M_EGW_WS_1_19,M_EGW_WS_20_29,M_EGW_WS_30_34,M_EGW_WS_35_39,M_EGW_WS_40_44,M_EGW_WS_45_49,M_EGW_WS_50_over,M_EGW_WS_hours_NS,M_EGW_WS_Tot,M_Cnstn_0,M_Cnstn_1_19,M_Cnstn_20_29,M_Cnstn_30_34,M_Cnstn_35_39,M_Cnstn_40_44,M_Cnstn_45_49,M_Cnstn_50_over,M_Cnstn_hours_NS,M_Cnstn_Tot,M_WTrade_0,M_WTrade_1_19,M_WTrade_20_29,M_WTrade_30_34,M_WTrade_35_39,M_WTrade_40_44,M_WTrade_45_49,M_WTrade_50_over,M_WTrade_hours_NS,M_WTrade_Tot,M_RTrade_0,M_RTrade_1_19,M_RTrade_20_29,M_RTrade_30_34,M_RTrade_35_39,M_RTrade_40_44,M_RTrade_45_49,M_RTrade_50_over,M_RTrade_hours_NS,M_RTrade_Tot,M_AccomFoodS_0,M_AccomFoodS_1_19,M_AccomFoodS_20_29,M_AccomFoodS_30_34,M_AccomFoodS_35_39,M_AccomFoodS_40_44,M_AccomFoodS_45_49,M_AccomFoodS_50_over,M_AccomFoodS_hours_NS,M_AccomFoodS_Tot,M_TransPostWhse_0,M_TransPostWhse_1_19,M_TransPostWhse_20_29,M_TransPostWhse_30_34,M_TransPostWhse_35_39,M_TransPostWhse_40_44,M_TransPostWhse_45_49,M_TransPostWhse_50_over,M_TransPostWhse_hours_NS,M_TransPostWhse_Tot,M_InfoMedTelecom_0,M_InfoMedTelecom_1_19,M_InfoMedTelecom_20_29,M_InfoMedTelecom_30_34,M_InfoMedTelecom_35_39,M_InfoMedTelecom_40_44,M_InfoMedTelecom_45_49,M_InfoMedTelecom_50_over,M_InfoMedTelecom_hours_NS,M_InfoMedTelecom_Tot,M_FinInsurS_0,M_FinInsurS_1_19,M_FinInsurS_20_29,M_FinInsurS_30_34,M_FinInsurS_35_39,M_FinInsurS_40_44,M_FinInsurS_45_49,M_FinInsurS_50_over,M_FinInsurS_hours_NS,M_FinInsurS_Tot,M_RentHirREserv_0,M_RentHirREserv_1_19,M_RentHirREserv_20_29,M_RentHirREserv_30_34,M_RentHirREserv_35_39,M_RentHirREserv_40_44,M_RentHirREserv_45_49,M_RentHirREserv_50_over,M_RentHirREserv_hours_NS,M_RentHirREserv_Tot,M_ProScieTechServ_0,M_ProScieTechServ_1_19,M_ProScieTechServ_20_29,M_ProScieTechServ_30_34,M_ProScieTechServ_35_39,M_ProScieTechServ_40_44,M_ProScieTechServ_45_49,M_ProScieTechServ_50_over,M_ProScieTechServ_hours_NS,M_ProScieTechServ_Tot,M_AdminSupServ_0,M_AdminSupServ_1_19,M_AdminSupServ_20_29,M_AdminSupServ_30_34,M_AdminSupServ_35_39,M_AdminSupServ_40_44,M_AdminSupServ_45_49,M_AdminSupServ_50_over,M_AdminSupServ_hours_NS,M_AdminSupServ_Tot,M_PubAdmiSafety_0,M_PubAdmiSafety_1_19,M_PubAdmiSafety_20_29,M_PubAdmiSafety_30_34,M_PubAdmiSafety_35_39,M_PubAdmiSafety_40_44,M_PubAdmiSafety_45_49,M_PubAdmiSafety_50_over,M_PubAdmiSafety_hours_NS,M_PubAdmiSafety_Tot,M_EducTrain_0,M_EducTrain_1_19,M_EducTrain_20_29,M_EducTrain_30_34,M_EducTrain_35_39,M_EducTrain_40_44,M_EducTrain_44_49,M_EducTrain_50_over,M_EducTrain_hours_NS,M_EducTrain_Tot,M_HealthCareSocA_0,M_HealthCareSocA_1_19,M_HealthCareSocA_20_29,M_HealthCareSocA_30_34,M_HealthCareSocA_35_39,M_HealthCareSocA_40_44,M_HealthCareSocA_45_49,M_HealthCareSocA_50_over,M_HealthCareSocA_hours_NS,M_HealthCareSocA_Tot,M_ArtRecServ_0,M_ArtRecServ_1_19,M_ArtRecServ_20_29,M_ArtRecServ_30_34,M_ArtRecServ_35_39,M_ArtRecServ_40_44,M_ArtRecServ_45_49,M_ArtRecServ_50_over,M_ArtRecServ_hours_NS,M_ArtRecServ_Tot,M_OthServ_0,M_OthServ_1_19,M_OthServ_20_29,M_OthServ_30_34,M_OthServ_35_39,M_OthServ_40_44,M_OthServ_45_49,M_OthServ_50_over,M_OthServ_hours_NS,M_OthServ_Tot,M_ID_NS_0,M_ID_NS_1_19,M_ID_NS_20_29,M_ID_NS_30_34,M_ID_NS_35_39,M_ID_NS_40_44,M_ID_NS_45_49,M_ID_NS_50_over,M_ID_NS_hours_NS,M_ID_NS_Tot
1,1473,3968,3620,2777,5872,9997,3491,19131,1039,51364,1804,595,839,382,4148,7154,3668,11552,398,30543,7955,8358,7365,5528,37867,38021,12613,20455,1209,139365,1326,1024,803,820,7322,8592,2400,4851,224,27363,41632,21885,16870,11709,37052,73565,16966,42999,4410,267081,2723,4213,3432,2342,16431,19124,5414,11129,413,65218,12949,29167,19448,9946,28527,25440,6994,13807,1707,147985,21106,34308,14720,6052,11499,9058,2604,6715,1562,107624,10727,11700,12052,6448,23974,28509,9301,23890,2063,128657,1898,2535,1823,1185,9926,13037,2975,6792,283,40461,1795,3043,3003,2986,23315,34139,8346,21350,589,98572,1544,3260,2197,1287,5595,8283,2443,6417,278,31297,4472,12309,9810,6646,34308,61139,13112,33931,1107,176834,6097,9968,7401,3833,10563,11313,2409,5200,771,57555,7119,4983,4608,3140,42498,31959,11377,13711,1069,120470,5624,14229,6614,4846,20691,18053,5525,12350,598,88531,6044,13424,13376,11108,28643,27874,6077,14175,1082,121798,5642,3936,2341,1416,4646,4790,956,2568,285,26582,6930,7841,5218,3257,14143,16214,4493,9106,793,68001,7167,8952,6927,4109,18899,21590,4583,11037,17259,100527
2,1356,3709,3299,2554,6056,9050,3058,15141,926,45144,664,247,201,176,736,1602,756,3237,121,7744,3620,7203,6820,5830,44804,45656,15003,22822,1207,152967,753,843,781,829,6958,8259,2370,4437,225,25454,7149,13171,14122,12965,44564,89426,22927,48453,3888,256671,1317,3096,2759,2291,15597,17792,5449,9272,380,57949,5558,28130,16584,9196,27386,23852,6828,12426,1349,131303,8835,31607,14538,5768,11490,8900,2510,6589,1261,91501,5036,9412,11466,6547,21258,28116,9166,20240,1851,113090,1075,2121,1626,1181,8242,9434,2126,4302,221,30323,1367,1955,2130,1975,15168,26176,5426,12136,406,66738,724,1659,1503,1107,4776,6183,1982,4961,211,23100,2472,9219,7532,6051,30406,51915,11520,27131,857,147110,2196,8166,7485,4014,10436,9867,2306,4607,650,49738,4622,4287,3557,3309,26788,28643,7501,10430,713,89856,2786,12310,6207,4582,18705,16338,5737,11542,491,78706,3825,10096,10870,10912,22002,21948,5544,11259,799,97248,3629,5134,2502,1809,5187,5263,1212,2863,267,27871,2531,5712,5083,3221,13576,14973,3992,7812,664,57558,2844,6984,5764,3945,19041,20607,4473,9977,14924,88551
3,1062,2719,2345,2170,4970,7127,2665,16838,955,40859,4558,931,916,449,3141,6502,4521,23672,763,45440,3168,4334,3659,3461,27736,27583,11251,19262,897,101359,1086,666,534,657,4870,7120,2128,4625,163,21840,6767,9735,9129,9182,29086,54710,18722,48556,2661,188544,1201,1969,1612,1295,9903,11048,3859,7543,274,38709,5628,19247,11948,7239,20030,16159,5351,10201,945,96752,10002,24853,10192,4735,9898,7290,2488,6625,1068,77144,5031,6541,7555,4759,16256,18490,6934,20386,1280,87236,694,1159,854,635,3630,3622,935,2439,102,14069,684,1044,1113,1013,7621,8539,2342,5564,141,28057,793,1757,1339,1024,3464,4735,1762,5297,185,20355,2112,5684,4584,3684,17010,27995,7088,18237,428,86823,2425,6115,4943,2950,7824,6796,1825,4996,489,38359,5050,3192,3005,2635,25901,23700,7298,10628,807,82215,3544,7343,5572,4065,12703,11251,3565,7891,354,56282,4468,8007,8609,8920,20991,17908,4256,9826,728,83716,3195,3064,1737,1098,3610,3168,716,1809,232,18637,3050,4376,3253,2421,10720,12177,3932,8457,527,48911,2729,5088,3972,2924,12845,14245,3748,9643,11170,66365
4,758,1690,1517,1329,3066,4811,1826,7134,412,22540,1099,219,225,110,781,1208,775,4427,121,8981,1117,2036,2008,1798,13497,11739,4770,6003,368,43323,254,309,254,286,2190,2659,817,1517,74,8361,1850,3290,3664,3437,11388,18467,5627,11734,780,60238,326,764,666,602,4057,3805,1380,2231,91,13922,1106,8482,4808,2706,7804,5795,2047,3206,331,36282,1135,8428,4061,1833,3187,2528,1036,2190,326,24719,1286,2330,2904,1700,5186,5824,2336,5750,406,27731,130,444,334,278,1633,1457,356,699,31,5357,222,372,408,405,3397,2662,878,1611,43,9998,149,470,348,236,1127,1054,452,1091,38,4960,500,2053,1659,1358,6852,8773,2292,4936,143,28573,469,2521,2245,1398,3454,2413,714,1262,159,14640,1367,1120,1203,1233,10493,8894,2565,2954,236,30063,650,3048,1912,1337,4986,4144,1798,3028,94,20997,1106,3238,3719,3712,8719,4780,1706,3289,286,30554,311,1453,645,446,1159,897,270,553,48,5796,430,1543,1411,1069,4545,4447,1329,2381,184,17338,638,1508,1229,875,3981,3241,897,1947,2895,17209
5,803,1465,1325,1070,1642,3876,1608,7873,372,20029,7209,2052,1755,824,5073,11320,7728,40052,1269,77276,1488,2141,1937,1587,11600,14134,6064,10707,375,50029,398,361,301,334,2813,2995,1198,2477,107,10972,3210,4545,4764,4737,12767,27771,9558,28220,1267,96838,631,1017,849,695,4420,6562,2448,5417,151,22183,1331,10600,6135,3227,8553,8264,2846,5590,426,46975,1050,12150,5597,2493,4664,4436,1668,4704,473,37240,2095,3333,3686,2468,6560,10568,4265,11338,668,44976,149,662,442,331,1530,1744,428,853,29,6170,266,560,559,481,2869,4151,1109,2468,55,12518,183,748,611,395,1254,1987,881,2468,63,8598,1120,3176,2522,2149,9385,17165,4642,10332,249,50739,716,3043,2622,1426,3164,3625,1089,2932,220,18835,2103,2026,1633,1316,11252,12872,3637,5509,315,40675,815,4425,2325,1768,5935,6606,2274,4163,161,28479,1253,3682,3805,3430,9093,7616,2154,4421,293,35758,335,2680,1098,763,1801,1715,503,1096,85,10079,694,2044,1775,1251,4941,6620,2411,5344,308,25389,1225,3033,2110,1603,6308,8750,2524,6632,5575,37772
6,376,732,689,689,1677,2027,658,2561,223,9635,225,59,61,42,137,387,343,1064,31,2353,463,646,643,568,3201,3249,1423,1585,148,11919,115,103,115,146,1121,884,291,448,34,3263,549,951,1049,1129,3802,7031,1684,2990,273,19455,119,286,246,205,1188,1206,380,618,23,4272,329,2182,1432,748,2316,1703,623,953,111,10394,290,2451,1348,622,1454,1005,335,725,119,8348,523,709,808,450,1372,1583,681,1843,152,8113,39,152,109,86,449,366,95,168,3,1466,49,100,97,81,620,533,157,306,16,1948,41,151,105,71,273,273,117,219,4,1249,140,706,615,471,1688,1747,471,1019,37,6901,145,725,530,307,676,507,144,304,40,3367,509,451,453,488,3079,2035,648,950,83,8692,189,997,816,489,1837,1427,459,762,43,7006,476,975,1234,1353,2258,1596,500,1018,97,9514,97,536,306,210,486,371,97,251,13,2359,117,458,411,328,1168,1344,359,717,65,4958,195,404,322,217,769,837,224,492,941,4404
7,52,106,61,54,232,243,108,675,44,1563,320,58,39,17,124,293,189,1079,46,2164,49,77,55,80,449,528,164,367,12,1784,82,45,36,36,304,344,101,214,15,1171,235,270,255,337,1105,1944,725,2111,111,7093,40,40,35,45,308,280,108,263,14,1127,101,517,452,245,839,628,234,440,45,3507,91,681,451,278,838,624,200,575,55,3793,161,190,275,194,589,755,316,778,56,3307,12,27,41,20,146,119,35,68,3,471,14,16,13,12,68,114,26,59,0,326,4,32,32,14,96,120,51,146,7,506,64,147,149,146,577,808,249,436,18,2595,48,200,183,98,333,288,67,256,23,1501,549,331,302,323,2665,3187,1051,1851,115,10370,74,232,215,180,762,594,171,420,26,2670,189,272,315,329,1468,951,242,583,59,4412,41,155,105,63,297,328,58,141,21,1215,66,150,122,102,554,638,184,431,35,2289,112,170,131,93,450,558,120,405,608,2655
8,25,72,48,21,74,75,24,58,8,419,9,9,3,0,7,18,7,59,7,122,74,211,171,117,720,942,249,466,16,2970,67,55,40,45,413,374,119,204,15,1327,428,648,781,675,2213,5060,1559,3006,196,14570,30,80,71,67,385,423,134,252,6,1450,232,1752,1168,522,1683,1168,440,730,78,7763,342,2644,1391,523,1449,990,339,605,87,8373,219,368,469,256,816,949,390,726,67,4262,47,146,104,94,694,685,186,294,9,2254,38,95,89,59,484,494,152,269,0,1679,33,101,72,54,331,364,133,355,7,1442,334,818,762,639,3654,5910,1230,2310,68,15726,98,458,487,231,728,735,135,290,32,3192,1415,957,1084,1347,12230,11403,3359,4568,155,36522,230,1429,653,355,1975,1504,565,974,28,7709,267,807,820,679,2102,1440,385,932,54,7494,87,582,241,125,423,318,95,201,16,2091,83,344,300,193,742,891,296,490,25,3367,74,237,222,109,563,634,115,279,698,2925
9,0,6,0,0,4,0,3,3,0,21,3,3,0,0,17,5,10,33,0,72,0,3,0,0,9,3,0,0,0,19,3,0,0,0,11,9,4,6,6,41,3,12,9,15,55,50,11,31,0,186,3,0,0,3,3,4,0,0,0,18,0,14,7,0,17,12,4,5,0,70,9,16,17,10,23,14,0,9,6,98,3,9,3,9,12,15,14,9,0,70,0,0,0,0,0,3,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,4,0,3,0,0,0,0,12,4,3,3,3,0,3,5,0,0,28,4,3,11,4,21,8,0,3,0,59,5,16,4,4,68,71,13,49,0,237,0,0,3,0,3,6,6,3,0,29,0,8,0,3,8,4,0,4,0,31,3,3,7,0,10,0,0,6,0,32,4,4,4,0,10,12,3,9,0,48,5,9,0,0,19,19,5,10,11,69
